헌 Heon
몰 Mol
셜 Syeol
쌈 Ssam
픈 Peun
맛 At
램 Raem
놈 Nom
퇴 Toe
끼 kki
첼 Chel
틱 Tik
쥬 Jyu
엘 Ael
넥 Nek
릿 Rit
탈 Tal
윌 Wil
흘 Heul
닷 Dat
얼 Eol
랩 Raep
낚 nak
막 Mak
혀 Hyeo
띵 Tting
귀 Gwi
듬 Deum
눔 Num
뜰 Tteul
잭 Jaek
균 Gyun
퀸 Kwin
촬 Chwal
괄 Gwal
닛 Nit
팬 Paen
욱 Uk
책 Chaek
겨 Gyeo
칸 Kan
셔 Syeo
텨 Tyeo
릭 Rik
납 Nap
급 Geup
흑 Heuk
삭 Sak
혹 Hok
럽 Reop
찌 Jji
렛 let
몽 mong
